Model,Total Parameters (B),Max Tokens,Pooling Method,Is Instructed,Query Prefix,Document Prefix
[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),7.069,32768.0
[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),7.568,40960.0
[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),7.11,32768.0
[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),7.111,32768.0
[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),0.568,8192.0
[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),0.137,8192.0
[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),7.111,32768.0
[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),7.505,32768.0
[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),0.568,8192.0
[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),7.111,32768.0
[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),0.149,8192.0
[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),0.596,40960.0
[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),7.111,32768.0
[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),7.11,32768.0
[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),0.305,8192.0
[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),1.565,131072.0
[zembed-1](https://huggingface.co/zeroentropy/zembed-1),4.022,32768.0
[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),3.935,32768.0
[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),0.033,8192.0
[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),0.212,8192.0
[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),1.543,32768.0
[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),0.137,8192.0
[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),0.137,8192.0
[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),4.022,40960.0
[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),4.022,8192.0
[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),0.596,32768.0
[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),0.137,8192.0
[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),0.435,8192.0
[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),7.069,32768.0
[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),0.305,8192.0
[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),1.721,40960.0
[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),7.85,32768.0
[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),0.334,40960.0
[bge-m3](https://huggingface.co/BAAI/bge-m3),0.568,8194.0
[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),0.596,32768.0
[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),7.071,8192.0
[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),4.022,32768.0
[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),0.572,8194.0
[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),7.567,32768.0
[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),1.543,32768.0
[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),0.137,8192.0
[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),1.224,8192.0
[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),0.596,32768.0
[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),1.721,8192.0
[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),7.11,32768.0
[Octen-Embedding-4B](https://huggingface.co/bflhc/Octen-Embedding-4B),4.022,32768.0
[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),0.435,8192.0
[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),0.048,8192.0
[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),1.543,32768.0
[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B),0.596,32768.0
[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),0.596,8192.0
[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),0.607,32768.0
[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),0.149,8192.0
[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),0.08,40960.0
[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),0.149,8192.0
[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),7.111,32768.0
[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),7.11,32768.0
[C2LLM-0.5B](https://huggingface.co/codefuse-ai/C2LLM-0.5B),0.497,32768.0
[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),0.137,8192.0
[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),0.159,40960.0
[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),4.022,32768.0
[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),7.567,32768.0
[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),0.354,128000.0
[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),1.54,131072.0
[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),4.022,32768.0
[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),7.85,32768.0
[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),0.137,8192.0
[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),0.149,8192.0
[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),0.212,8192.0
[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),7.099,32768.0
[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),4.0,32768.0
[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),7.111,32768.0
[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),7.069,32768.0
[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),7.667,32768.0